vx,vy,wz
4.472047558281218027e-01,-5.622048808445496287e-02,4.755066185992974925e-01
4.884640810908472131e-01,-3.092028076107115192e-02,4.495493167988843242e-01
5.000616231866155115e-01,1.091813165271841163e-02,4.977435274934091103e-01
4.502330522890571896e-01,-4.959964458385517083e-02,5.159344597036223945e-01
5.166828989295589869e-01,-5.459698022880277862e-02,5.032187489709919470e-01
5.237429217702829209e-01,-3.780718976809941539e-02,5.014264145791235139e-01
5.109888176727516163e-01,-5.723256919058562070e-02,4.847617466563788335e-01
4.614736417830223036e-01,-6.059430761085599082e-02,4.734140036446576327e-01
5.325437178654222059e-01,-6.837426757228814989e-03,4.911387899724273809e-01
5.710431239311928309e-01,-1.074717609828580202e-02,4.481661233054095028e-01
5.822159154383172996e-01,-5.331399838716383704e-02,3.701755926640381000e-01
5.955369319702689124e-01,-4.655904624285048254e-02,3.245768808057694632e-01
6.203755295070225717e-01,-2.871293299161049861e-02,2.804196062504418219e-01
5.768034963581396557e-01,-9.841851202942550336e-02,3.213699251387677203e-01
5.456087322380930305e-01,-1.149478688343169713e-01,2.991773149038597923e-01
5.496864691504205203e-01,-3.531440363890875345e-02,2.960495347170678526e-01
5.511874742577693720e-01,2.889492082496343192e-02,2.642312205102053113e-01
5.213846133239805614e-01,1.941983383221412840e-02,2.725394160263249765e-01
4.815980324842247806e-01,-3.664371227590743768e-02,1.342712887697018742e-01
5.219563592868219359e-01,-4.185622117416505639e-02,1.625783229587085266e-01
5.683928810013839650e-01,-4.661309399435508566e-02,1.937190246034451724e-01
4.786284294141124329e-01,-4.320723340191461037e-02,1.536452615454687864e-01
4.334165409057708640e-01,-3.379346881346471237e-02,1.637766023600279730e-01
4.981030885758425675e-01,-4.730538468048772760e-02,1.523913348929717138e-01
5.646897638774002193e-01,-6.334753355843041056e-02,4.190497089114665619e-02
5.726293805860167563e-01,-1.063413523416838376e-02,-4.522956548196552240e-03
5.766855148456663249e-01,-2.280341260093412051e-03,1.400923575313681863e-02
