e_vx,e_vy,e_wz,vx,vy,vz,ax,ay,az,qd1,qd3
0.403959,0.000221055,0.00266424,-0.00218335,0.000110385,0.00183597,-0.00845705,0.00755864,-7.63217e-05,0,0
0.400721,0.000987752,0.00395981,0.000876999,0.000356393,0.00183578,-0.00845705,0.00755864,-0.000609147,0,0
0.401106,-0.000806346,0.00464957,0.000870817,0.000716796,0.00183523,-0.00845705,0.00755864,0.000856175,0,0
0.383507,-0.000178457,0.00468191,0.00158989,-0.000655687,0.00183736,-0.00845705,0.00755864,-0.000461686,0,0
0.40173,-0.00115196,0.00370292,-0.000954624,0.000366786,0.00183565,-0.00845705,0.00755864,0.000890227,0,0
0.401286,9.22136e-05,0.00360721,-0.000988079,0.000236784,0.00183585,-0.00845705,0.00755864,-0.000244907,0,0
0.401111,0.000398077,0.000943725,-0.00120164,-1.4228e-05,0.00183621,-0.00845705,0.00755864,0.000566025,0,0
0.402915,-0.000423774,0.00418006,-0.00114427,0.000275928,0.00183578,-0.00845705,0.00755864,-0.00073252,0,0
0.401785,-0.000645462,0.00655771,0.000558443,-0.000357494,0.00183684,-0.00845705,0.00755864,-0.00117568,0,0
0.401377,-0.000436792,0.00456686,0.000712593,-0.000153668,0.00183654,-0.00845705,0.00755864,0.000121737,0,0
0.401097,0.000662382,0.00496456,0.000641726,6.96663e-05,0.0018362,-0.00845705,0.00755864,0.000356228,0,0
0.401084,9.9088e-05,0.00201793,0.000937051,0.000488923,0.00183558,-0.00845705,0.00755864,0.000494053,0,0
0.397893,-0.00227628,0.0118025,0.000934809,0.000630553,0.00183536,-0.00845705,0.00755864,-0.00119788,0,0
0.401119,-0.000265161,0.005133,-2.16002e-05,-0.000501956,0.00183703,-0.00845705,0.00755864,0.000732231,0,0
0.401533,-0.00156552,0.00556031,-2.40479e-05,-0.00020509,0.00183657,-0.00845705,0.00755864,-0.000774253,0,0
0.399776,-0.00135618,0.00952092,0.000391292,-0.000186226,0.00183657,-0.00845705,0.00755864,0.000359374,0,0
